Song Title,Artist Name,Key,BPM,Year,Style
24K Magic,Bruno Mars,Fm,107,2016,Funk,
Sir Duke,Stevie Wonder,B,108,1977,Funk,
Get Up (I Feel Like Being a) Sex Machine,James Brown,Ebm,108,1970,Funk,
"In the Stone (Intro only),""Earth, Wind & Fire"",B,109,1979,Funk,"
About Damn Time,Lizzo,Ebm,109,2022,Funk,
About Damn Time (clean version),Lizzo,Ebm,109,2022,Funk,
Chameleon,Herbie Hancock,Bbm,111,1973,Funk,
Say So,Doja Cat,D,111,2019,Funk,
Cold Sweat,James Brown,D,112,1967,funk,
Skate,Silk Sonic,Dm,112,2021,Funk,
Get Down on It,Kool and the Gang,Em,112,1981,Funk,
Break My Heart,Dua Lipa,Em,113,2020,Funk,
"In the Stone,""Earth, Wind & Fire"",B,114,1979,Funk,"
Caribbean Queen (No More Love on the Run - Single Version),Billy Ocean,Dm,114,1984,Funk,
I'm Every Woman,Chaka Khan,Cm,115,1978,Funk,
Uptown Funk,Bruno Mars & Mark Ronson,Dm,115,2014,Funk,
Treasure,Bruno Mars,Cm,116,2012,Funk,
American Boy,Estelle & Kanye West,Em,118,2008,Funk,
Le Freak,Chic,Am,119,1978,Funk,
Isn't She Lovely,Stevie Wonder,E,119,1976,Funk,
Cake By The Ocean (clean),DNCE,Em,119,2015,Funk,
Cake by the Ocean,DNCE,Em,119,2015,Funk,
Sugar,Maroon 5,Db,120,2014,Funk,
Celebration,Kool and the Gang,Ab,121,1980,Funk,
What a Fool Believes,The Doobie Brothers,Bbm,121,1978,Funk,
This Girl,Kungs,Eb,122,2016,Funk,
"Let's Groove,""Earth, Wind & Fire"",Bm,125,1981,Funk,"
Higher Ground,Stevie Wonder,Ebm,125,1973,Funk,
"September,""Earth, Wind & Fire"",F#m,126,1978,Funk,"
Bonde do Brunão,Bruno Mars,Bbm,130,2025,Funk,
On My Soul,Bruno Mars,Ebm,130,2026,Funk,
"Boogie Wonderland,""Earth, Wind & Fire"",Dm,131,1979,Funk,"
Beggin',Måneskin,Bm,134,2017,Funk,
Higher Ground,Red Hot Chili Peppers,Em,141,1989,Funk,
Proud Mary,Tina Turner & Ike Turner,D,156,1971,Funk,
Happy,Pharrell Williams,Fm,160,2013,Funk,
Virtual Insanity,Jamiroquai,Ebm,91.990,1996,Funk,
Just the Two of Us,Bill Withers,Fm,95.890,1980,Funk,
Lose Yourself to Dance,Daft Punk & Pharrell Williams,Bbm,100.190,2013,Funk,
P.D.A. (We Just Don't Care),John Legend,B,111.500,2007,Funk,
Get Lucky,Daft Punk & Pharrell Williams,Bm,116.050,2013,Funk,
Fresh,Kool and the Gang,Bm,116.850,1984,Funk,
Get Up Offa That Thing,James Brown,F#,117.970,1976,Funk,
"Funkytown,""Lipps, Inc."",C,122.700,1980,Funk,"
Papa Was a Rolling Stone,The Temptations,Bbm,123.972,1972,Funk,
Love Theory,Kirk Franklin,Bbm,97,2019,Gospel,
Civil War,Guns N' Roses,Ebm,75,1993,Hard Rock,
November Rain,Guns N' Roses,B,80,1992,Hard Rock,
Paradise City,Guns N' Roses,F#,103,1987,Hard Rock,
Livin' on a Prayer,Bon Jovi,Em,123,1986,Hard Rock,
Welcome to the Jungle,Guns N' Roses,Eb,124,1987,Hard Rock,
Sweet Child O' Mine,Guns N' Roses,Db,125,1987,Hard Rock,
I Was Made For Lovin' You,Kiss,Ebm,129,1979,Hard Rock,
Rock and Roll All Nite,Kiss,Ab,141,1975,Hard Rock,
Higher Ground,Red Hot Chili Peppers,Em,141,1989,Hard Rock,
Rockstar,Post Malone & 21 Savage,Gm,80,2017,Hip-Hop,
Brown Sugar,D'Angelo,Bm,83,1995,Hip-Hop,
Love The Way You Lie,Eminem & Rihanna,Gm,87,2010,Hip-Hop,
Stereo Hearts,Gym Class Heroes & Adam Levine,A,90,2011,Hip-Hop,
Killing Me Softly,The Fugees & Lauryn Hill,Em,92,1996,Hip-Hop,
Where Is The Love,Black Eyed Peas,F,94,2003,Hip-Hop,
Thrift Shop,Macklemore & Ryan Lewis & Wanz,G#m,95,2012,Hip-Hop,
I Wanna Love You,Akon & Snoop Dogg,Am,100,2006,Hip-Hop,
Fly as Me,Silk Sonic,Em,100,2021,Hip-Hop,
Paint the Town Red,Doja Cat,Gm,100,2023,Hip-Hop,
New Thang,Redfoo,Gm,100,2014,Hip-Hop,
Finesse (remix),Bruno Mars & Cardi B,Fm,105,2018,Hip-Hop,
Yeah!,Usher & Lil' Jon & Ludacris,Gm,105,2004,Hip-Hop,
Woman,Doja Cat,Cm,108,2021,Hip-Hop,
Dangerous,Kardinal Offishall & Akon,Gm,117,2008,Hip-Hop,
Smack That,Akon & Eminem,Fm,119,2006,Hip-Hop,
Congratulations,Post Malone & Quavo,Gb,123,2016,Hip-Hop,
My Humps,Black Eyed Peas,C#m,124,2005,Hip-Hop,
Pursuit of Happiness (Steve Aoki remix),Kid Cudi & MGMT & Ratatat,Am,128,2009,Hip-Hop,
Need to Know,Doja Cat,Ebm,130,2021,Hip-Hop,
Day 'n' Nite (Nightmare),Kid Cudi,Em,138,2009,Hip-Hop,
Pursuit of Happiness,Kid Cudi & MGMT & Ratatat,C,57.650,2009,Hip-Hop,
Clint Eastwood,Gorillaz,Ebm,84.010,2001,Hip-Hop,
Empire State of Mind,Jay-Z & Alicia Keys,F#,86.650,2009,Hip-Hop,
Family Affair,Mary J. Blige,G#m,92.900,2001,Hip-Hop,
Crazy in Love,Beyoncé & Jay-Z,D,99.270,2003,Hip-Hop,
