Song Title,Artist Name,Key,BPM,Year,Style
All of Me (Tiësto Remix),John Legend,Fm,128,2014,Pop,
Summer,Calvin Harris,G,128,2014,Pop,
Feel So Close,Calvin Harris,G,128,2011,Pop,
I Gotta Feeling,Black Eyed Peas,G,128,2009,Pop,
The Door,Teddy Swims,G#m,128,2023,Pop,
Ain't No Mountain High Enough,Marvin Gaye & Tammi Terrell,D,129,1967,Pop,
Dreams,The Cranberries,E,129,1992,Pop,
I Kissed a Girl,Katy Perry,A,130,2008,Pop,
Here Comes the Sun,The Beatles,A,130,1969,Pop,
Danza kuduro,Don Omar & Lucenzo,Am,130,2010,Pop,
Boom Boom Pow,Black Eyed Peas,Am,130,2009,Pop,
Lucky,Jason Mraz & Colbie Caillat,Am,130,2009,Pop,
Mad,Ne-Yo,C,130,2008,Pop,
Pepas,Farruko,Em,130,2021,Pop,
Timber,Pitbull & Kesha,G#m,130,2013,Pop,
Scream & Shout,will.i.am & Britney Spears,Gm,130,2012,Pop,
Don't Go Breaking My Heart,Elton John & Kiki Dee,F,131,1976,Pop,
I Want to Hold Your Hand,The Beatles,G,131,1964,Pop,
Hot n Cold,Katy Perry,G,132,2008,Pop,
Shut Up And Drive,Rihanna,Db,133,2007,Pop,
All About That Bass,Meghan Trainor,A,134,2014,Pop,
Die for You,Justin Bieber & Dominic Fike,Bbm,135,2021,Pop,
Mamma Mia,ABBA,D,137,1975,Pop,
Viva La Vida,Coldplay,Ab,138,2008,Pop,
Right Now (Na Na Na),Akon,B,138,2008,Pop,
Accidentally in Love,Shrek 2 (film) (Counting Crows),G,138,2004,Pop,
Just the Way You Are,Billy Joel,D,139,1977,Pop,
Overkill,Men at Work,E,139,1983,Pop,
Shivers,Ed Sheeran,Bm,141,2021,Pop,
7 Rings,Ariana Grande,C#m,141,2019,Pop,
93 Million Miles,Jason Mraz,Eb,141,2012,Pop,
Locked Out of Heaven,Bruno Mars,Dm,144,2012,Pop,
Marry You,Bruno Mars,F,145,2010,Pop,
All the Small Things,Blink-182,C,148,1999,Pop,
APT.,Rosé (로제) & Bruno Mars,Eb,149,2024,Pop,
Bang Bang,Ariana Grande,C,150,2014,Pop,
Sk8er Boi,Avril Lavigne,D,150,2002,Pop,
Ride,Twenty One Pilots,F#,150,2015,Pop,
E.T.,Katy Perry,Fm,150,2010,Pop,
Iris,Goo Goo Dolls (City of Angels),D,155,1998,Pop,
All My Loving,The Beatles,E,156,1963,Pop,
Happy,Pharrell Williams,Fm,160,2013,Pop,
High Hopes,Panic! At the Disco,F,164,2018,Pop,
Solamente una vez,Luis Miguel,F,168,1994,Pop,
Stay,The Kid Laroi & Justin Bieber,Bbm,170,2021,Pop,
Blinding Lights,The Weeknd,Fm,171,2019,Pop,
Can't Buy Me Love,The Beatles,C,172,1964,Pop,
As It Was,Harry Styles,A,174,2022,Pop,
Footloose,Footloose (1984 film),A,174,1984,Pop,
Dancing with Myself,Billy Idol (Generation X),E,176,1981,Pop,
Count On Me,Bruno Mars,C,178,2010,Pop,
Die with a Smile,Lady Gaga & Bruno Mars,A,52.667,2024,Pop,
Love on the Brain,Rihanna,G,57.330,2016,Pop,
Pursuit of Happiness,Kid Cudi & MGMT & Ratatat,C,57.650,2009,Pop,
Perfect,Ed Sheeran,Ab,63.333,2017,Pop,
You're Still The One,Shania Twain,Eb,67.010,1997,Pop,
Thinking of You,Katy Perry,E,73.500,2009,Pop,
I'm Yours,Jason Mraz,B,75.500,2008,Pop,
El dia que me quieras,Luis Miguel,Ab,79.900,1994,Pop,
Angel,Shaggy & Rayvon,F#,85.260,2001,Pop,
Holding Back the Years,Simply Red,Am,86.120,1985,Pop,
Empire State of Mind,Jay-Z & Alicia Keys,F#,86.650,2009,Pop,
The Lazy Song,Bruno Mars,B,87.500,2010,Pop,
19-2000,Gorillaz,G,89.750,2001,Pop,
Ocean Drive,Lighthouse Family,D,90.650,1995,Pop,
Virtual Insanity,Jamiroquai,Ebm,91.990,1996,Pop,
Let Me Love You,Mario,Gm,94.500,2004,Pop,
Torn,Natalie Imbruglia,F,96.290,1997,Pop,
Perfidia,Luis Miguel,Em,97.800,2001,Pop,
Yesterday,The Beatles,F,97.890,1965,Pop,
Crazy in Love,Beyoncé & Jay-Z,D,99.270,2003,Pop,
Crazy in Love (no rap version),Beyoncé,D,99.270,2003,Pop,
La Isla Bonita,Madonna,C#m,100.017,1986,Pop,
Mind Trick,Jamie Cullum,Db,100.470,2005,Pop,
She Will Be Loved,Maroon 5,Cm,102.020,2004,Pop,
Something Just Like This,The Chainsmokers & Coldplay,Bm,103.007,2017,Pop,
Stars,Simply Red,G,103.710,1991,Pop,
Would I Lie to You?,Charles & Eddie,G,103.978,1992,Pop,
How Deep Is Your Love,Bee Gees,Eb,103.980,1977,Pop,
Payphone,Maroon 5 & Wiz Khalifa,B,110.034,2012,Pop,
Payphone (no rap),Maroon 5,B,110.034,2012,Pop,
Big Girls Don't Cry,Fergie,G,113.090,2006,Pop,
Fresh,Kool and the Gang,Bm,116.850,1984,Pop,
Murder on the Dancefloor,Sophie Ellis Bextor,E,117.290,2001,Pop,
Smooth Operator,Sade,Dm,119.300,1984,Pop,
Gypsy Woman (She's Homeless - radio mix),Crystal Waters,Dm,119.875,1991,Pop,
Girls Just Want to Have Fun,Cyndi Lauper,F#,120.410,1983,Pop,
Bad Girls,Donna Summer,Dm,120.450,1979,Pop,
Rather Be,Clean Bandit & Jess Glynne,G#m,121.020,2014,Pop,
I Follow Rivers,Lykke Li,Dm,121.970,2011,Pop,
Don't Stop the Music,Rihanna,F#m,122.700,2007,Pop,
Can't Get You Out Of My Head,Kylie Minogue,Dm,125.980,2001,Pop,
Clocks,Coldplay,Eb,131.210,2002,Pop,
I Won't Give Up,Jason Mraz,E,135.900,2012,Pop,
Beautiful Day,U2,D,136.260,1996,Pop,
It's Raining Men,Geri Halliwell,Fm,136.450,2001,Pop,
Shake It Off (Taylor's Version),Taylor Swift,G,159.995,2023,Pop,
Maneater,Hall & Oates,Bm,177.634,1982,Pop,
All the Small Things,Blink-182,C,148,1999,Punk/Grunge,
Tadow,Masego & FKJ,Am,61,2019,R&B,
Fallin',Alicia Keys,Em,64,2001,R&B,
That's What I Like,Bruno Mars,Bbm,67,2016,R&B,
We Belong Together,Mariah Carey,C,70,2005,R&B,
Same Girl,R. Kelly & Usher,Ebm,70,2007,R&B,
Like I'm Gonna Lose You,Meghan Trainor & John Legend,C,72,2015,R&B,
Yummy,Justin Bieber,Dm,73,2020,R&B,
Leave the Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),Am,74,2021,R&B,
Get You,Daniel Caesar & Kali Uchis,Bm,74,2016,R&B,
Best Part,Daniel Caesar & H.E.R.,D,75,2017,R&B,
What Goes Around... Comes Around,Justin Timberlake,Am,76,2006,R&B,
Mirrors,Justin Timberlake,Cm,77,2013,R&B,
Boombastic,Shaggy,Dm,79,1995,R&B,
Halo,Beyoncé,A,80,2009,R&B,
Stickwitu,The Pussycat Dolls,A,80,2005,R&B,
Redbone,Childish Gambino,Ebm,80,2016,R&B,
Them Changes,Thundercat,Ebm,81,2015,R&B,
Wiggle,Jason Derulo & Snoop Dogg,Am,82,2014,R&B,
Take a Bow,Rihanna,E,82,2008,R&B,
Too Little Too Late,JoJo,A,83,2006,R&B,
Brown Sugar,D'Angelo,Bm,83,1995,R&B,
Me & Mrs. Jones (Midnight Affair remix),Solar System,D,83,1996,R&B,
Lady,D'Angelo,Ebm,85,1996,R&B,
Miss Independent,Ne-Yo,Db,86,2008,R&B,
Umbrella,Rihanna & Jay-Z,Bbm,87,2007,R&B,
My Boo,Usher & Alicia Keys,Dm,87,2004,R&B,
Rude Boy,Rihanna,Ebm,87,2009,R&B,
Irreplaceable,Beyoncé,Bb,88,2006,R&B,
Stereo Hearts,Gym Class Heroes & Adam Levine,A,90,2011,R&B,
Peaches,Justin Bieber & Daniel Caesar & Giveon,C,90,2021,R&B,
No One,Alicia Keys,E,90,2007,R&B,
If I Were a Boy,Beyoncé,F#,90,2008,R&B,
Killing Me Softly,The Fugees & Lauryn Hill,Em,92,1996,R&B,
Girl on Fire (main version),Alicia Keys,A,93,2012,R&B,
Starboy,The Weeknd & Daft Punk,Am,93,2016,R&B,
Sexy Love,Ne-Yo,Ab,94,2006,R&B,
Love On Top,Beyoncé,C,94,2011,R&B,
Where Is The Love,Black Eyed Peas,F,94,2003,R&B,
So Sick,Ne-Yo,Ebm,95,2005,R&B,
Put Your Records On,Corinne Bailey Rae,A,96,2006,R&B,
"Taki Taki,""DJ Snake & Selena Gomez, Ozuna & Cardi B"",C#m,96,2018,R&B,"
Love Theory,Kirk Franklin,Bbm,97,2019,R&B,
Single Ladies (Put a Ring on It),Beyoncé,E,97,2008,R&B,
Pon de Replay,Rihanna,F#m,99,2005,R&B,
I Wanna Love You,Akon & Snoop Dogg,Am,100,2006,R&B,
Worth It,Fifth Harmony & Kid Ink,Cm,100,2015,R&B,
What's My Name,Rihanna & Drake,F#m,100,2010,R&B,
Suit & Tie,Justin Timberlake & Jay-Z,D,102,2013,R&B,
Nothin' on You,B.o.B & Bruno Mars,Bb,104,2010,R&B,
Yeah!,Usher & Lil' Jon & Ludacris,Gm,105,2004,R&B,
24K Magic,Bruno Mars,Fm,107,2016,R&B,
Woman,Doja Cat,Cm,108,2021,R&B,
Un-Break My Heart,Toni Braxton,Bm,110,1996,R&B,
Never Too Much,Luther Vandross,Bm,110,1981,R&B,
Because of You,Ne-Yo,Cm,110,2007,R&B,
Hollaback Girl,Gwen Stefani,D#m,110,2005,R&B,
Kiss Me More,Doja Cat & SZA,Ab,111,2021,R&B,
Say So,Doja Cat,D,111,2019,R&B,
Grenade,Bruno Mars,Dm,111,2010,R&B,
Stay,Rihanna & Mikky Ekko,Am,112,2012,R&B,
Crazy,Gnarls Barkley,Cm,112,2006,R&B,
Promiscuous,Nelly Furtado & Timbaland,Bbm,114,2006,R&B,
Crazy in Love (2014 remix),Beyoncé,Dm,115,2014,R&B,
Say It Right,Nelly Furtado,Fm,116,2006,R&B,
Sexyback,Justin Timberlake & Timbaland,Dm,117,2006,R&B,
Water,Tyla,Gb,117,2023,R&B,
Cuff It (Wetter remix),Beyoncé,Em,118,2023,R&B,
American Boy,Estelle & Kanye West,Em,118,2008,R&B,
Smack That,Akon & Eminem,Fm,119,2006,R&B,
Don't Cha (radio edit),The Pussycat Dolls,Bbm,120,2005,R&B,
Dynamite,Taio Cruz,C#m,120,2010,R&B,
Telephone,Lady Gaga & Beyoncé,Fm,122,2009,R&B,
My Humps,Black Eyed Peas,C#m,124,2005,R&B,
Japanese Denim,Daniel Caesar,Eb,124,2016,R&B,
Only Girl (In the World),Rihanna,D,126,2010,R&B,
The Time (Dirty Bit),Black Eyed Peas,E,128,2010,R&B,
S&M,Rihanna,Ebm,128,2010,R&B,
Mad,Ne-Yo,C,130,2008,R&B,
Need to Know,Doja Cat,Ebm,130,2021,R&B,
Right Now (Na Na Na),Akon,B,138,2008,R&B,
7 Rings,Ariana Grande,C#m,141,2019,R&B,
Bang Bang,Ariana Grande,C,150,2014,R&B,
Pump It,Black Eyed Peas,E,154,2006,R&B,
Hey Ya! (Radio Mix - Club Mix),OutKast,Em,159,2003,R&B,
Pink + White,Frank Ocean,Em,160,2016,R&B,
I Believe I Can Fly,R. Kelly,C,60.145,1996,R&B,
Snooze,SZA,Am,71.474,2022,R&B,
Angel,Shaggy & Rayvon,F#,85.260,2001,R&B,
Empire State of Mind,Jay-Z & Alicia Keys,F#,86.650,2009,R&B,
Lonely,Akon,C,90.100,2004,R&B,
Stronger Than Me,Amy Winehouse,Dm,91.400,2003,R&B,
Family Affair,Mary J. Blige,G#m,92.900,2001,R&B,
Let Me Love You,Mario,Gm,94.500,2004,R&B,
Crazy in Love,Beyoncé & Jay-Z,D,99.270,2003,R&B,
Crazy in Love (no rap version),Beyoncé,D,99.270,2003,R&B,
Rock Your Body,Justin Timberlake,Em,100.985,2002,R&B,
Untitled (How Does It Feel),D'Angelo,D,112.620,2000,R&B,
Tears Dry On Their Own,Amy Winehouse,C#m,121.510,2006,R&B,
Say My Name,Destiny's Child,Cm,137.984,1999,R&B,
See You Again,Wiz Khalifa & Charlie Puth,Bb,80,2015,Rap,
Rockstar,Post Malone & 21 Savage,Gm,80,2017,Rap,
Love The Way You Lie,Eminem & Rihanna,Gm,87,2010,Rap,
Killing in the Name,Rage Against the Machine,Dm,88,1992,Rap,
Stereo Hearts,Gym Class Heroes & Adam Levine,A,90,2011,Rap,
Give It Away,Red Hot Chili Peppers,Am,91,1991,Rap,
Love Nwantiti (Ah Ah Ah),CKay & Joeboy & Kuami Eugene,Fm,93,2019,Rap,
Young,Wiz Khalifa & Snoop Dogg,D,95,2011,rap,
Thrift Shop,Macklemore & Ryan Lewis & Wanz,G#m,95,2012,Rap,
Shape of You (Stormzy Remix),Ed Sheeran,C#m,96,2017,Rap,
I Wanna Love You,Akon & Snoop Dogg,Am,100,2006,Rap,
Fly as Me,Silk Sonic,Em,100,2021,Rap,
Paint the Town Red,Doja Cat,Gm,100,2023,Rap,
Yeah!,Usher & Lil' Jon & Ludacris,Gm,105,2004,Rap,
Woman,Doja Cat,Cm,108,2021,Rap,
Promiscuous,Nelly Furtado & Timbaland,Bbm,114,2006,Rap,
Dangerous,Kardinal Offishall & Akon,Gm,117,2008,Rap,
Smack That,Akon & Eminem,Fm,119,2006,Rap,
Congratulations,Post Malone & Quavo,Gb,123,2016,Rap,
My Humps,Black Eyed Peas,C#m,124,2005,Rap,
Hotel Room Service,Pitbull & Nicole Scherzinger,B,126,2009,Rap,
I Know You Want Me (Calle Ocho),Pitbull,Dm,127,2009,Rap,
Pursuit of Happiness (Steve Aoki remix),Kid Cudi & MGMT & Ratatat,Am,128,2009,Rap,
Fergalicious,Fergie & will.i.am,Bbm,129,2006,Rap,
Give Me Everything Tonight,Pitbull,Eb,129,2011,Rap,
Need to Know,Doja Cat,Ebm,130,2021,Rap,
Timber,Pitbull & Kesha,G#m,130,2013,Rap,
Dark Horse,Katy Perry & Juicy J,Bbm,132,2013,Rap,
Day 'n' Nite (Nightmare),Kid Cudi,Em,138,2009,Rap,
Hey Ya! (Radio Mix - Club Mix),OutKast,Em,159,2003,Rap,
Pursuit of Happiness,Kid Cudi & MGMT & Ratatat,C,57.650,2009,Rap,
Clint Eastwood,Gorillaz,Ebm,84.010,2001,Rap,
Empire State of Mind,Jay-Z & Alicia Keys,F#,86.650,2009,Rap,
Feel Good Inc.,Gorillaz,Ebm,138.520,2005,Rap,
Billionaire,Travie McCoy & Bruno Mars,A,87,2010,Reggae,
It Wasn't Me,Shaggy & Ricardo Ducent,C,95,2000,Reggae,
Someone Like You (remix),Ziggy in tha House,G,99,2025,Reggae,
No Lie,Dua Lipa & Sean Paul,Am,102,2016,Reggae,
Cheerleader (Felix Jaehn Remix),OMI,E,118,2014,Reggae,
Is This Love,Groove Da Praia,A,120,2005,Reggae,
Am I Wrong,Nico & Vinz,Cm,120,2013,Reggae,
Calma (Remix),Pedro Capó & Farruko,D,127,2018,Reggae,
Ride,Twenty One Pilots,F#,150,2015,Reggae,
Angel,Shaggy & Rayvon,F#,85.260,2001,Reggae,
The Lazy Song,Bruno Mars,B,87.500,2010,Reggae,
Crazy,Aerosmith,A,54,1993,Rock,
I Don't Want to Miss a Thing,Aerosmith,D,61,1998,Rock,
Patience,Guns N' Roses,F#,61,1989,Rock,
Easy,Faith No More,Ab,62,1992,Rock,
Bubbly,Colbie Caillat,A,65,2007,Rock,
Knockin' on Heaven's Door,Guns N' Roses,Gb,66,1991,Rock,
What's Up?,4 Non Blondes,A,67,1993,Rock,
Somebody to Love,Queen,Ab,73,1976,Rock,
Photograph,Nickelback,Eb,73,2005,Rock,
The Scientist,Coldplay,F,73,2002,Rock,
Hey Jude,The Beatles,F,74,1968,Rock,
Don't Speak,No Doubt,Cm,76,1996,Rock,
Don't Let Me Down,The Beatles,E,76,1969,Rock,
Complicated,Avril Lavigne,F,78,2002,Rock,
Fly Away,Lenny Kravitz,G,80,1998,Rock,
We Will Rock You,Queen,Em,81,1977,Rock,
Come Together,The Beatles,Dm,84,1969,Rock,
Under the Bridge,Red Hot Chili Peppers,E,84,1992,Rock,
Zombie,The Cranberries,Em,84,1994,Rock,
California King Bed,Rihanna,G,85,2010,Rock,
Ironic,Alanis Morissette,B,86,1995,Rock,
How You Remind Me,Nickelback,Cm,86,2001,Rock,
Now and Then,The Beatles,Am,87,2023,Rock,
Wonderwall,Oasis,F#m,87,1995,Rock,
Sunday Morning,Maroon 5,C,88,2004,Rock,
Killing in the Name,Rage Against the Machine,Dm,88,1992,Rock,
Scar Tissue,Red Hot Chili Peppers,F,89,1999,Rock,
Give It Away,Red Hot Chili Peppers,Am,91,1991,Rock,
We Are Young,Fun & Janelle Monáe,F,92,2011,Rock,
Bohemian Rhapsody,Queen,Bb,93,1975,Rock,
Strawberry Fields Forever,The Beatles,Bb,95,1967,Rock,
Ode to My Family,The Cranberries,D,95,1994,Rock,
Linger,The Cranberries,D,95,1993,Rock,
This Love,Maroon 5,Eb,95,2002,Rock,
Dani California,Red Hot Chili Peppers,C,96,2006,Rock,
Californication,Red Hot Chili Peppers,Am,97,1999,Rock,
Say Something,Justin Timberlake & Chris Stapleton,Cm,97,2018,Rock,
Hey Soul Sister (Country Mix),Train,E,97,2010,Rock,
Change the World,Eric Clapton,E,97,1996,Rock,
Sunday Bloody Sunday,U2,Bbm,101,1983,Rock,
La flaca,Santana & Juanes,Am,103,2014,Rock,
La flaca,Jarabe de Palo,Am,103,1996,Rock,
Upside Down,Jack Johnson,E,103,2006,Rock,
Riders on the Storm,The Doors,Em,103,1971,Rock,
Paradise City,Guns N' Roses,F#,103,1987,Rock,
The Best,Tina Turner,F,104,1989,Rock,
All Star,Smash Mouth,F#,104,1999,Rock,
Even Flow,Pearl Jam,Ebm,105,1992,Rock,
You Oughta Know,Alanis Morissette,F#m,105,1995,Rock,
Black Hole Sun,Soundgarden,Ab,106,1994,Rock,
Snow (Hey Oh),Red Hot Chili Peppers,G#m,106,2006,Rock,
Walk This Way,Aerosmith,E,108,1975,Rock,
With or Without You,U2,D,109,1987,Rock,
I Want to Break Free,Queen,E,109,1984,Rock,
Under Pressure,Queen & David Bowie,D,114,1981,Rock,
Last Kiss,Pearl Jam,G,114,1999,Rock,
A Little Less Conversation,Elvis Presley,A,115,1968,Rock,
Smooth,Santana & Rob Thomas,Am,116,1999,Rock,
Sunshine of Your Love,Cream,D,116,1968,Rock,
Teenage Dream,Katy Perry,Bb,120,2009,Rock,
The Sweet Escape,Gwen Stefani & Akon,Bbm,120,2006,Rock,
It's My Life,Bon Jovi,Cm,120,2000,Rock,
The Game of Love,Santana & Michelle Branch,D,120,2002,Rock,
Sugar,Maroon 5,Db,120,2014,Rock,
Black or White,Michael Jackson,E,121,1991,Rock,
Livin' on a Prayer,Bon Jovi,Em,123,1986,Rock,
Kids,MGMT,F#m,123,2008,Rock,
Otherside,Red Hot Chili Peppers,C,124,2000,Rock,
Welcome to the Jungle,Guns N' Roses,Eb,124,1987,Rock,
Sweater Weather,The Neighbourhood,Gm,124,2013,Rock,
Sweet Child O' Mine,Guns N' Roses,Db,125,1987,Rock,
Losing My Religion,R.E.M.,Am,126,1991,Rock,
It's My Life,No Doubt,E,126,2003,Rock,
Who Can It Be Now,Men at Work,C#m,128,1982,Rock,
Dreams,The Cranberries,E,129,1992,Rock,
"I Kissed a Girl,Katy Perry,A,130,2008,Rock,,2001,""Electro,Dance"""
"Here Comes the Sun,The Beatles,A,130,1969,Rock,,2001,""Electro,Dance"""
Light My Fire (Single Version),The Doors,Am,130,1967,Rock,
Beggin',Måneskin,Bm,134,2017,Rock,
(I Can't Get No) Satisfaction,The Rolling Stones,E,137,1965,Rock,
Viva La Vida,Coldplay,Ab,138,2008,Rock,
Accidentally in Love,Shrek 2 (film) (Counting Crows),G,138,2004,Rock,
Overkill,Men at Work,E,139,1983,Rock,
Vertigo,U2,E,140,2004,Rock,
Rock and Roll All Nite,Kiss,Ab,141,1975,Rock,
93 Million Miles,Jason Mraz,Eb,141,2012,Rock,
Higher Ground,Red Hot Chili Peppers,Em,141,1989,Rock,
Rockstar,Nickelback,G,144,2005,Rock,
All the Small Things,Blink-182,C,148,1999,Rock,
Don't Stop Me Now,Queen,F,148,1978,Rock,
Ride,Twenty One Pilots,F#,150,2015,Rock,
Crazy Little Thing Called Love,Queen,D,154,1979,Rock,
Iris,Goo Goo Dolls (City of Angels),D,155,1998,Rock,
Proud Mary,Tina Turner & Ike Turner,D,156,1971,Rock,
All My Loving,The Beatles,E,156,1963,Rock,
Girlfriend,Avril Lavigne,D,164,2007,Rock,
Footloose,Footloose (1984 film),A,174,1984,Rock,
Dancing with Myself,Billy Idol (Generation X),E,176,1981,Rock,
Thinking of You,Katy Perry,E,73.500,2009,Rock,
Rock Me Baby,Tina Turner,E,78.625,1987,Rock,
Can't Stop,Red Hot Chili Peppers,G,91.450,2003,Rock,
Torn,Natalie Imbruglia,F,96.290,1997,Rock,
Another One Bites the Dust,Queen,Fm,109.930,1980,Rock,
Big Girls Don't Cry,Fergie,G,113.090,2006,Rock,
Ticket to Ride,The Beatles,A,123.860,1965,Rock,
Clocks,Coldplay,Eb,131.210,2002,Rock,
Beautiful Day,U2,D,136.260,1996,Rock,
Maneater,Hall & Oates,Bm,177.634,1982,Rock,
I Got a Woman,Ray Charles,A,99,1954,Rock 'n Roll,
A Little Less Conversation,Elvis Presley,A,115,1968,Rock 'n Roll,
A Little Less Conversation,Junkie XL & Elvis Presley,E,115,2002,Rock 'n Roll,
Chain of Fools,Aretha Franklin,Cm,117,1967,Rock 'n Roll,
Twist and Shout,The Beatles,D,125,1963,Rock 'n Roll,
I Want to Hold Your Hand,The Beatles,G,131,1964,Rock 'n Roll,
Crazy Little Thing Called Love,Queen,D,154,1979,Rock 'n Roll,
Can't Buy Me Love,The Beatles,C,172,1964,Rock 'n Roll,
Hit the Road Jack,Ray Charles,G#m,172,1961,Rock 'n Roll,
You're the One That I Want,Grease (film),Am,106.800,1978,Rock 'n Roll,
"Feels,""Calvin Harris & Katy Perry, Pharrell Williams & Big Sean"",Em,101,2017,Ska,"
Never Tear Us Apart,INXS,Am,64,1988,Soft rock,
"After the Love Has Gone,""Earth, Wind & Fire"",F,65,1979,Soft rock,"
Something,The Beatles,C,67,1969,Soft rock,
Fix You,Coldplay,Eb,69,2005,Soft rock,
Bad Day,Daniel Powter,Eb,70,2005,Soft rock,
Love of My Life,Queen,F,76,1975,Soft rock,
Tears in Heaven,Eric Clapton,A,77,1992,Soft rock,
It Ain't Over 'til It's Over,Lenny Kravitz,Db,80,1991,Soft rock,
You're Beautiful,James Blunt,Eb,82,2005,Soft rock,
You Make Me Feel Brand New,Simply Red,Eb,82,2003,Soft rock,
The Reason,Hoobastank,E,83,2004,Soft rock,
One,U2,Am,90,1992,Soft rock,
More Than Words,Extreme,Gb,92,1990,Soft rock,
One,Mary J. Blige & U2,A,93,2005,Soft rock,
Human Nature,Michael Jackson,D,93,1983,Soft rock,
A Thousand Miles,Vanessa Carlton,B,95,2002,Soft rock,
Bésame mucho,Andrea Bocelli,Cm,95,2006,Soft rock,
Linger,The Cranberries,D,95,1993,Soft rock,
All You Need Is Love,The Beatles,G,105,1967,Soft rock,
Down Under,Men at Work,D,107,1981,Soft rock,
Better Together,Jack Johnson,F,110,2005,Soft rock,
Save Room,John Legend,Am,112,2006,Soft rock,
Eye in the Sky,The Alan Parsons Project,D,112,1982,Soft rock,
I Just Called to Say I Love You (single version),Stevie Wonder,Db,113,1984,Soft rock,
Banana Pancakes,Jack Johnson,G,114,2005,Soft rock,
Say It Right,Nelly Furtado,Fm,116,2006,Soft rock,
Am I Wrong,Nico & Vinz,Cm,120,2013,Soft rock,
Everything,Michael Bublé,D,123,2007,Soft rock,
Budapest,George Ezra,F,128,2013,Soft rock,
Lucky,Jason Mraz & Colbie Caillat,Am,130,2009,Soft rock,
Just the Way You Are,Billy Joel,D,139,1977,Soft rock,
Die with a Smile,Lady Gaga & Bruno Mars,A,52.667,2024,Soft rock,
Far Away,Nickelback,B,66.500,2005,Soft rock,
I'm Yours,Jason Mraz,B,75.500,2008,Soft rock,
Holding Back the Years,Simply Red,Am,86.120,1985,Soft rock,
Yellow,Coldplay,B,86.750,2000,Soft rock,
If You Don't Know Me By Now,Simply Red,Bb,94.900,1989,Soft rock,
TRUE,Spandau Ballet,G,97.980,1983,Soft rock,
Stars,Simply Red,G,103.710,1991,Soft rock,
Let's Stay Together,Tina Turner,B,105.880,1983,Soft rock,
Sacrifice,Elton John,Db,111.340,1989,Soft rock,
Kiss From a Rose,Seal,Ab,131.714,1994,Soft rock,
I Have Nothing,The Bodyguard (Whitney Houston),G,51,1993,Soul,
Lose Control,Teddy Swims,F#m,54,2023,Soul,
At Last,Etta James,F,58,1960,Soul,
Tadow,Masego & FKJ,Am,61,2019,Soul,
Killing Me Softly with His Song,Roberta Flack,Fm,61,1973,Soul,
All of Me,John Legend,Ab,63,2013,Soul,
Fallin',Alicia Keys,Em,64,2001,Soul,
Greatest Love of All,Whitney Houston,A,65,1986,Soul,
Saving All My Love For You,Whitney Houston,A,66,1985,Soul,
Easy (Like Sunday Morning),Commodores,Ab,66,1977,Soul,
Someone Like You,Adele,A,67,2011,Soul,
That's What I Like,Bruno Mars,Bbm,67,2016,Soul,
Ribbon in the Sky,Stevie Wonder,Eb,68,1982,Soul,
Like I'm Gonna Lose You,Meghan Trainor & John Legend,C,72,2015,Soul,
I Smile,Kirk Franklin,Db,72,2011,Soul,
Talking to the Moon,Bruno Mars,,73,2010,Soul,
Just the Way You Are,Barry White,A,74,1978,Soul,
Leave the Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),Am,74,2021,Soul,
Get You,Daniel Caesar & Kali Uchis,Bm,74,2016,Soul,
"Would You Mind,""Earth, Wind & Fire"",E,74,1999,Soul,"
Nothing Left,Bruno Mars,A,75,2026,Soul,
Best Part,Daniel Caesar & H.E.R.,D,75,2017,Soul,
Lately,Stevie Wonder,Db,76,1980,Soul,
Too Much,Johnny Mathis & Deniece Williams,Eb,78,1970,soul,
Ain't No Sunshine,Bill Withers,Am,79,1971,Soul,
One Moment In Time,Whitney Houston,C,79,1988,Soul,
It Ain't Over 'til It's Over,Lenny Kravitz,Db,80,1991,Soul,
Redbone,Childish Gambino,Ebm,80,2016,Soul,
God Was Showing Off,Bruno Mars,F#,80,2026,Soul,
I Want to Know What Love Is,Mariah Carey,Gb,80,2009,Soul,
Them Changes,Thundercat,Ebm,81,2015,Soul,
Everybody Loves the Sunshine,Roy Ayers,F#m,81,1976,Soul,
Is It a Crime,Sade,Cm,82,1985,Soul,
Smokin Out the Window,Silk Sonic,D,82,2021,Soul,
I'm Not the Only One,Sam Smith,F,82,2014,Soul,
Brown Sugar,D'Angelo,Bm,83,1995,Soul,
Overjoyed,Stevie Wonder,Eb,83,1986,Soul,
Stay with Me,Sam Smith,C,85,2014,Soul,
Cruisin',Smokey Robinson,E,85,1979,Soul,
Lady,D'Angelo,Ebm,85,1996,Soul,
What You Won't Do For Love,Bobby Caldwell,F#m,85,1978,Soul,
My Boo,Usher & Alicia Keys,Dm,87,2004,Soul,
Don't Know Why,Norah Jones,Bb,88,2002,Soul,
Sweet Love,Anita Baker,Bb,89,1986,Soul,
Your Love Is King,Sade,A,90,1984,Soul,
No One,Alicia Keys,E,90,2007,Soul,
How Deep Is Your Love (live),PJ Morton & Yebba,F#,90,2018,Soul,
Colors,Black Pumas,F#m,90,2019,Soul,
This Masquerade (Single Version),George Benson,Fm,90,1976,Soul,
Girl on Fire (main version),Alicia Keys,A,93,2012,Soul,
